AssetId|ClientAssetID|LocationSGcode FROM FAR
3545|LAN9601534|C05400050000103600000
3545|LAN9602421|C05400050000103400000
3545|LAN9603287|C05400050000106000000
3545|LAN9603288|C05400050000104100000
3545|LAN9603289|C05400050000103500000
3545|LAN9604955|C05400050000104000000
3548|LAN9599054|C05400000000003400075
3552|LAN9600749|C05400030000025300000
3555|LAN9602402|C04200010000123500000
3557|LAN9599048|C01400010000072400000
3557|LAN9599904|C01400010000105800000
3557|LAN9601518|C01400010000072300000
3557|LAN9602401|C01400010000035400000
3557|LAN9604942|C01400010000014500000
3560|LAN9602473|C07300030000192700000
3572|LAN9605160|C06500000000006800000
3587|LAN9600997|C01900010000156700000
3587|LAN9602695|C01900010000233600000
3587|LAN9603537|C01900010000259100000
3588|LAN9599334|C01900010000101400000
3355|LAN9601233|C01600070006699200000
3355|LAN9602074|C01600070006699500000
20589|LAN9599688|C01600240000985800000
20595|LAN9604173|C02700010000022300000
20598|LAN9602192|C01600750003559000000
2060|LAN9602189|C01600340000291900000
20600|LAN9599419|C01300030000180600000
20602|LAN9604720|C01600750000470600000
20603|LAN9603059|C01600750000775800000
20609|LAN9601732|C05500100000928300000
20609|LAN9602602|C05500100000653600000
2061|LAN9598867|C01600330000030400000
2061|LAN9598870|C01600330000034800000
2061|LAN9598871|C01600330000034700000
2061|LAN9599711|C01600330000033900000
2061|LAN9599712|C01600330000102500000
2061|LAN9599713|C01600330000035000000
2061|LAN9600554|C01600330000034600000
2061|LAN9600555|C01600330000034200000
2061|LAN9603083|C01600330000034000000
2061|LAN9603086|C01600330000037700000
2061|LAN9603901|C01600330000034500000
2061|LAN9603902|C01600330000037600000
2061|LAN9604745|C01600330000033800000
20618|LAN9605032|C02700100001111700000
1789|LAN9603177|C01600070006629800000
1789|LAN9603180|C01600070006624900000
1789|LAN9603181|C01600070006624800000
1789|LAN9603983|C01600070006625300000
1789|LAN9604822|C01600070006629100000
1790|LAN9603175|C01600070001966900000
1790|LAN9603700|C01600070001966800000
1791|LAN9598954|C01600070001974500000
1791|LAN9599805|C01600070002058200000
1791|LAN9604821|C01600070001976100000
1793|LAN9598656|C01600030000125100000
1793|LAN9600342|C01600030000125200000
1793|LAN9602876|C01600030000124900000
1793|LAN9603701|C01600030000125000000
1794|LAN9602298|C01600030000124800000
1794|LAN9603179|C01600030000124600000
2436|LAN9598837|C01600070002256500000
